EmployeeID,Name,Department,Allowance,ExpenseAmount,WorkLogs
1,Employee_1,HR,4225.54,5300.76,96.92
2,Employee_2,Finance,4613.7,4409.03,156.89
3,Employee_3,Marketing,7391.92,6502.68,155.23
4,Employee_4,Finance,4232.62,5438.43,168.15
5,Employee_5,Finance,4922.23,4949.51,229.11
6,Employee_6,IT,5876.23,4321.99,187.46
7,Employee_7,Marketing,6543.21,5678.9,142.35
8,Employee_8,HR,3987.65,4567.89,203.68
9,Employee_9,Operations,5432.11,6789.01,176.89
10,Employee_10,IT,7654.32,5234.57,195.23
11,Employee_11,Finance,4321.1,4876.54,158.57
12,Employee_12,Marketing,6789.01,5987.65,214.89
13,Employee_13,HR,5234.57,4123.46,139.12
14,Employee_14,Operations,4876.54,6345.68,182.46
15,Employee_15,IT,5987.65,5654.32,167.79
16,Employee_16,Finance,4123.46,4987.65,201.01
17,Employee_17,Marketing,6345.68,5321.1,145.35
18,Employee_18,HR,5654.32,4654.32,189.68
19,Employee_19,Operations,4987.65,6076.54,173.9
20,Employee_20,IT,5321.1,5876.54,156.23
21,Employee_21,Finance,4654.32,4234.57,198.57
22,Employee_22,Marketing,6076.54,5543.21,162.89
23,Employee_23,HR,5876.54,4876.54,134.12
24,Employee_24,Operations,4234.57,6234.57,177.46
25,Employee_25,IT,5543.21,5098.77,191.79
26,Employee_26,Finance,4876.54,4654.32,149.01
27,Employee_27,Marketing,6234.57,5432.11,186.35
28,Employee_28,HR,5098.77,4321.1,205.68
29,Employee_29,Operations,4654.32,6109.88,171.9
30,Employee_30,IT,5432.11,5765.43,158.23
31,Employee_31,Finance,4321.1,4543.21,194.57
32,Employee_32,Marketing,6109.88,5876.54,147.89
33,Employee_33,HR,5765.43,4234.57,183.12
34,Employee_34,Operations,4543.21,6321.1,169.46
35,Employee_35,IT,5876.54,5654.32,202.79
36,Employee_36,Finance,4234.57,4876.54,151.01
37,Employee_37,Marketing,6321.1,5234.57,178.35
38,Employee_38,HR,5654.32,4543.21,165.68
39,Employee_39,Operations,4876.54,6234.57,192.9
40,Employee_40,IT,5234.57,5432.11,144.23
41,Employee_41,Finance,4543.21,4765.43,189.57
42,Employee_42,Marketing,6234.57,5098.77,153.89
43,Employee_43,HR,5432.11,4654.32,176.12
44,Employee_44,Operations,4765.43,6087.65,161.46
45,Employee_45,IT,5098.77,5321.1,207.79
46,Employee_46,Finance,4654.32,4987.65,142.01
47,Employee_47,Marketing,6087.65,5654.32,185.35
48,Employee_48,HR,5321.1,4123.46,172.68
49,Employee_49,Operations,4987.65,6234.57,159.9
50,Employee_50,IT,5654.32,5543.21,196.23
51,Employee_51,Finance,4123.46,4321.1,148.57
52,Employee_52,Marketing,6234.57,5876.54,174.89
53,Employee_53,HR,5543.21,4654.32,190.12
54,Employee_54,Operations,4321.1,6109.88,166.46
55,Employee_55,IT,5876.54,5234.57,181.79
56,Employee_56,Finance,4654.32,4876.54,157.01
57,Employee_57,Marketing,6109.88,5432.11,203.35
58,Employee_58,HR,5234.57,4765.43,139.68
59,Employee_59,Operations,4876.54,6321.1,175.9
60,Employee_60,IT,5432.11,5654.32,162.23
61,Employee_61,Finance,4765.43,4234.57,188.57
62,Employee_62,Marketing,6321.1,5543.21,154.89
63,Employee_63,HR,5654.32,4876.54,171.12
64,Employee_64,Operations,4234.57,6087.65,197.46
65,Employee_65,IT,5543.21,5321.1,143.79
66,Employee_66,Finance,4876.54,4543.21,179.01
67,Employee_67,Marketing,6087.65,5765.43,165.35
68,Employee_68,HR,5321.1,4234.57,201.68
69,Employee_69,Operations,4543.21,6234.57,147.9
70,Employee_70,IT,5765.43,5432.11,184.23
71,Employee_71,Finance,4234.57,4654.32,170.57
72,Employee_72,Marketing,6234.57,5876.54,156.89
73,Employee_73,HR,5432.11,4098.77,193.12
74,Employee_74,Operations,4654.32,6321.1,169.46
75,Employee_75,IT,5876.54,5234.57,145.79
76,Employee_76,Finance,4098.77,4765.43,182.01
77,Employee_77,Marketing,6321.1,5543.21,168.35
78,Employee_78,HR,5234.57,4321.1,194.68
79,Employee_79,Operations,4765.43,6087.65,151.9
80,Employee_80,IT,5543.21,5654.32,187.23
81,Employee_81,Finance,4321.1,4432.11,163.57
82,Employee_82,Marketing,6087.65,5765.43,179.89
83,Employee_83,HR,5654.32,4543.21,146.12
84,Employee_84,Operations,4432.11,6234.57,172.46
85,Employee_85,IT,5765.43,5321.1,198.79
86,Employee_86,Finance,4543.21,4876.54,154.01
87,Employee_87,Marketing,6234.57,5432.11,180.35
88,Employee_88,HR,5321.1,4654.32,166.68
89,Employee_89,Operations,4876.54,6109.88,192.9
90,Employee_90,IT,5432.11,5543.21,148.23
91,Employee_91,Finance,4654.32,4234.57,184.57
92,Employee_92,Marketing,6109.88,5876.54,170.89
93,Employee_93,HR,5543.21,4321.1,157.12
94,Employee_94,Operations,4234.57,6234.57,173.46
95,Employee_95,IT,5876.54,5654.32,189.79
96,Employee_96,Finance,4321.1,4876.54,155.01
97,Employee_97,Marketing,6234.57,5234.57,181.35
98,Employee_98,HR,5654.32,4543.21,167.68
99,Employee_99,Operations,4876.54,6087.65,194.9
100,Employee_100,IT,5234.57,5432.11,150.23
